source_name	group	baseline_R	balanced_R	delta_R	baseline_sys	balanced_sys	delta_sys	baseline_covariance_rho	balanced_covariance_rho
random_4x6_s1_50	4x6	16.61631980164321	11.01179071994958	-5.604529081693631	0.3630063648505945	0.6197079565114517	0.2567015916608572	3.9469589592724037	1.0000000000000004
random_5x5_s3_73	5x5	12.725648073683697	10.59142805745985	-2.1342200162238463	0.42318219078032304	0.6806790882834468	0.25749689750312377	2.3553017826817095	1.0000000000000002
random_5x6_s0_255	5x6	15.4239651734258	10.73127939397379	-4.692685779452011	0.3427667596287967	0.6848322950089689	0.3420655353801722	3.390167759333826	1.0000000000000004
random_6x6_s2_180	6x6	10.881217583644721	9.995715345071604	-0.8855022385731175	0.483611303497068	0.5765222825264089	0.09291097902934092	1.623928250429862	1.0
random_3x3_s1_162	3x3	21.87452944553462	13.441047323673525	-8.433482121861095	0.23298745956821781	0.5407645787199548	0.30777711915173694	7.050543452373038	1.0000000000000009
random_3x4_s1_203	3x4	21.81241801779068	12.250124778254905	-9.562293239535775	0.2170596422129079	0.6337805435709255	0.4167209013580176	7.27839901001969	1.0
random_3x5_s3_222	3x5	37.23732384197181	13.304774551067329	-23.93254929090448	0.07970521085584162	0.5713490664972939	0.4916438556414523	16.8660096848681	1.0000000000000002
random_3x6_s0_194	3x6	11.292445783507619	10.845916473476267	-0.44652931003135166	0.7435801143116614	0.7540170232957215	0.010436908984060134	1.4888350008922604	1.0000000000000007
random_4x4_s2_45	4x4	14.147492982228998	11.979731664364978	-2.16776131786402	0.3962296383251027	0.5446671872171581	0.1484375488920554	2.988625434000765	1.0000000000000007
random_4x5_s1_45	4x5	11.30420985901229	10.764476920874655	-0.5397329381376359	0.5988842593140794	0.7953860482027346	0.19650178888865522	1.8086650449111625	1.0000000000000002
random_4x6_s3_50	4x6	11.640360243060758	10.93831533647609	-0.7020449065846677	0.5541308097250739	0.7105434633175465	0.15641265359247258	1.9182892804163434	1.0
random_5x5_s1_254	5x5	22.844223462722706	11.118658510767379	-11.725564951955327	0.20723930656925482	0.5825133758424216	0.37527406927316675	9.473094545602468	1.0000000000000004
random_5x6_s2_99	5x6	28.827279802547007	11.022271486532842	-17.805008316014167	0.11770785308485246	0.5502901630557028	0.43258230997085034	13.72965218318576	1.000000000000003
random_6x6_s3_193	6x6	11.752073201632136	10.123451772659493	-1.628621428972643	0.5111068953787921	0.7377141994143032	0.2266073040355111	2.0877057499848424	1.0000000000000004
random_3x3_s3_239	3x3	13.302984802340948	12.439702000756325	-0.8632828015846226	0.4763005172923008	0.5022820644010823	0.025981547108781478	1.5570868479291406	1.0000000000000002
random_3x4_s3_240	3x4	12.327007865095073	11.929158382921694	-0.39784948217337934	0.5175358979371507	0.5215331261622764	0.003997228225125715	1.2422154645986072	1.0000000000000004
random_3x5_s1_198	3x5	22.470952897272987	12.052950087364932	-10.418002809908055	0.1887271610488904	0.5130328633497221	0.32430570230083167	9.790565169033206	1.0000000000000013
random_3x6_s1_0	3x6	42.127641807867455	13.031865962312159	-29.095775845555295	0.06575401537777471	0.6341769402035666	0.5684229248257919	29.351808128607175	1.0000000000000007
random_4x4_s0_141	4x4	18.100019518415802	12.706437187739727	-5.393582330676075	0.29193168945511894	0.6550817677681009	0.36315007831298196	4.587438155536696	1.0000000000000002
random_4x5_s1_40	4x5	23.306934249260056	10.89524523864515	-12.411689010614905	0.16774212300005914	0.7668264852508417	0.5990843622507827	8.883007062824246	1.0000000000000004
random_4x6_s3_244	4x6	14.345116628749198	10.948571952808056	-3.3965446759411417	0.27566078459552723	0.7934264127755585	0.5177656281800312	4.41527286256132	1.0000000000000002
